Field,Date,FIBBG000B9XRY4,FIBBG000BKZB36,FIBBG000BMHYD1,FIBBG000BPH459,FIBBG000GZQ728,FIBBG00B3T3HD3
Close,2023-01-03,124.2163,305.5299,171.6388,237.036,102.0452,43.8958
Close,2023-01-04,125.4975,309.2243,173.5075,226.6673,102.3422,44.4374
Close,2023-01-05,124.1666,305.1043,172.2264,219.9494,104.632,44.7919
Close,2023-01-06,128.7352,307.0966,173.6231,222.5416,105.8967,45.6485
Close,2023-01-09,129.2616,307.3674,169.1248,224.7083,103.923,49.4985
Close,2023-01-10,129.8377,310.0948,168.7202,226.4199,105.4751,52.1669
Close,2023-01-11,132.5788,318.1897,168.4505,233.2665,106.7015,51.1527
Close,2023-01-12,132.4994,319.0312,167.6029,235.9774,108.4739,52.5017
Close,2023-01-13,133.8402,320.3271,167.0539,236.6897,108.4069,53.7719
Close,2023-01-17,135.0121,316.768,166.0232,237.7978,108.1961,54.0181
Close,2023-01-18,134.2871,313.0542,163.5188,233.306,105.9733,52.6297
Close,2023-01-19,134.3467,300.6651,163.2972,229.4672,106.6536,48.76
Close,2023-01-20,136.9289,304.6498,162.5363,237.6692,108.5985,50.2173
Close,2023-01-23,140.1468,305.114,162.1221,240.0041,108.0332,50.9558
Close,2023-01-24,141.5571,307.2514,162.1221,239.4699,109.0392,52.0586
Close,2023-01-25,140.8917,306.8355,163.278,238.0551,108.4643,51.3891
Close,2023-01-26,142.9774,303.4989,162.6808,245.3666,112.8236,51.3103
Close,2023-01-27,144.9339,306.2842,162.045,245.5249,110.7637,51.9405
Close,2023-01-30,142.0239,303.9147,156.0441,240.1328,108.7997,49.5674
Close,2023-01-31,143.3051,313.5185,157.4119,245.1786,111.147,51.4383
Close,2023-02-01,144.4373,317.3096,158.8567,250.0662,109.9302,53.7424
Close,2023-02-02,149.7905,328.6252,159.4539,261.7903,106.4907,52.8365
Close,2023-02-03,153.4454,320.6076,158.5581,255.6067,107.2284,51.9306
Close,2023-02-06,150.6943,318.4509,157.3541,254.0435,107.0464,51.2217
Close,2023-02-07,153.5944,314.5146,157.3926,264.7189,110.1027,52.4229
Close,2023-02-08,150.883,310.2495,157.5949,263.8977,109.1446,49.8431
Close,2023-02-09,149.8402,305.1817,155.4661,260.8207,109.5566,49.2425
Close,2023-02-10,150.2082,306.1392,156.1886,260.3063,114.1745,47.9428
Close,2023-02-13,153.0332,312.8995,156.7665,268.439,113.7304,47.2141
Close,2023-02-14,152.3866,307.9671,156.0826,269.2799,112.3981,48.1791
Close,2023-02-15,154.5053,310.1528,153.5108,267.1276,112.0602,47.6671
Close,2023-02-16,152.8939,310.6847,152.4223,260.016,111.7319,48.0215
Close,2023-02-17,151.7401,307.5028,155.6044,255.9593,107.4356,46.1704
Close,2023-02-21,147.6917,285.7905,153.2858,250.6131,107.3294,47.3323
